@relation customer_shopping_data_pre

@attribute gender=Male numeric
@attribute age numeric
@attribute price numeric
@attribute category {Clothing,Shoes,Books,Cosmetics,'Food & Beverage',Toys,Technology,Souvenir}

@data
1,22,5.23,'Food & Beverage'
0,61,162.64,Cosmetics
0,25,10.46,'Food & Beverage'
0,66,58.65,Souvenir
0,59,600.17,Shoes
1,38,1200.32,Clothing
1,34,71.68,Toys
0,26,300.08,Clothing
0,59,58.65,Souvenir
0,53,35.84,Toys
1,23,162.64,Cosmetics
0,23,1500.4,Clothing
0,66,3150,Technology
0,56,162.64,Cosmetics
0,38,23.46,Souvenir
1,28,900.24,Clothing
0,44,5.23,'Food & Beverage'
0,26,20.92,'Food & Beverage'
0,41,162.64,Cosmetics
1,50,1200.32,Clothing
0,23,121.98,Cosmetics
0,31,162.64,Cosmetics
1,26,203.3,Cosmetics
0,56,15.69,'Food & Beverage'
0,34,143.36,Toys
0,29,600.16,Clothing
0,20,300.08,Clothing
0,54,121.98,Cosmetics
1,40,1200.32,Clothing
1,40,203.3,Cosmetics
1,21,60.6,Books
0,32,2100,Technology
1,47,900.24,Clothing
0,41,35.19,Souvenir
1,33,203.3,Cosmetics
0,67,23.46,Souvenir
1,37,121.98,Cosmetics
0,38,35.84,Toys
1,28,3000.85,Shoes
0,38,15.15,Books
0,56,40.66,Cosmetics
1,25,45.45,Books
1,66,75.75,Books
0,37,23.46,Souvenir
0,19,10.46,'Food & Beverage'
0,53,1500.4,Clothing
0,69,600.17,Shoes
1,69,1500.4,Clothing
0,31,10.46,'Food & Beverage'
1,39,75.75,Books
1,53,3000.85,Shoes
1,26,81.32,Cosmetics
1,63,15.69,'Food & Beverage'
0,34,1500.4,Clothing
1,25,5.23,'Food & Beverage'
0,20,1800.51,Shoes
0,18,1200.32,Clothing
1,53,162.64,Cosmetics
1,46,162.64,Cosmetics
0,34,300.08,Clothing
0,61,900.24,Clothing
0,38,1500.4,Clothing
0,67,15.69,'Food & Beverage'
1,33,143.36,Toys
0,63,1200.32,Clothing
0,21,1500.4,Clothing
0,41,162.64,Cosmetics
0,48,5.23,'Food & Beverage'
1,27,1050,Technology
0,22,179.2,Toys
0,54,1200.32,Clothing
0,51,35.84,Toys
0,29,300.08,Clothing
0,44,1200.34,Shoes
0,20,1800.51,Shoes
0,59,1200.34,Shoes
0,23,1200.32,Clothing
0,25,300.08,Clothing
1,63,600.17,Shoes
1,21,1500.4,Clothing
0,56,900.24,Clothing
1,39,81.32,Cosmetics
1,50,10.46,'Food & Beverage'
0,54,2400.68,Shoes
1,27,3150,Technology
1,56,1500.4,Clothing
0,53,1200.32,Clothing
0,62,121.98,Cosmetics
0,42,1200.32,Clothing
0,68,71.68,Toys
1,27,1200.32,Clothing
1,39,162.64,Cosmetics
1,44,107.52,Toys
0,52,900.24,Clothing
0,19,81.32,Cosmetics
0,68,121.98,Cosmetics
1,22,75.75,Books
1,61,600.17,Shoes
1,23,15.69,'Food & Beverage'
1,34,203.3,Cosmetics
0,33,23.46,Souvenir
0,60,600.17,Shoes
0,24,5.23,'Food & Beverage'
1,53,203.3,Cosmetics
1,22,900.24,Clothing
1,50,46.92,Souvenir
1,49,600.16,Clothing
1,31,300.08,Clothing
1,29,26.15,'Food & Beverage'
0,52,5.23,'Food & Beverage'
0,67,81.32,Cosmetics
0,50,10.46,'Food & Beverage'
0,58,179.2,Toys
0,50,1200.32,Clothing
0,68,2100,Technology
0,59,23.46,Souvenir
0,66,1500.4,Clothing
1,69,46.92,Souvenir
1,27,26.15,'Food & Beverage'
0,52,35.84,Toys
0,27,600.16,Clothing
0,43,2100,Technology
1,36,300.08,Clothing
0,19,11.73,Souvenir
1,21,75.75,Books
1,20,300.08,Clothing
0,23,71.68,Toys
0,52,81.32,Cosmetics
1,24,1200.32,Clothing
0,20,26.15,'Food & Beverage'
1,58,107.52,Toys
1,21,1200.32,Clothing
1,35,1200.34,Shoes
0,29,121.98,Cosmetics
1,68,81.32,Cosmetics
0,50,121.98,Cosmetics
0,44,107.52,Toys
0,47,300.08,Clothing
0,48,46.92,Souvenir
0,39,35.84,Toys
1,27,300.08,Clothing
0,34,2400.68,Shoes
0,65,5.23,'Food & Beverage'
0,53,81.32,Cosmetics
0,19,15.69,'Food & Beverage'
0,19,600.16,Clothing
0,31,5.23,'Food & Beverage'
0,43,71.68,Toys
1,42,900.24,Clothing
1,58,60.6,Books
0,34,121.98,Cosmetics
0,32,81.32,Cosmetics
1,27,46.92,Souvenir
0,28,10.46,'Food & Beverage'
1,55,121.98,Cosmetics
0,48,35.19,Souvenir
0,46,20.92,'Food & Beverage'
0,20,107.52,Toys
1,39,107.52,Toys
1,44,1500.4,Clothing
0,35,203.3,Cosmetics
1,48,203.3,Cosmetics
0,22,300.08,Clothing
0,52,3150,Technology
1,45,1500.4,Clothing
1,64,1200.32,Clothing
1,38,58.65,Souvenir
0,45,1200.34,Shoes
0,41,58.65,Souvenir
0,57,40.66,Cosmetics
1,57,20.92,'Food & Beverage'
0,60,15.15,Books
0,44,10.46,'Food & Beverage'
1,38,203.3,Cosmetics
1,65,15.69,'Food & Beverage'
1,30,300.08,Clothing
0,50,600.16,Clothing
0,19,15.69,'Food & Beverage'
1,26,600.17,Shoes
0,54,162.64,Cosmetics
0,63,121.98,Cosmetics
0,66,600.16,Clothing
0,48,81.32,Cosmetics
1,46,600.16,Clothing
1,54,2400.68,Shoes
1,62,75.75,Books
0,64,107.52,Toys
1,55,15.69,'Food & Beverage'
0,20,300.08,Clothing
1,41,179.2,Toys
1,54,26.15,'Food & Beverage'
1,34,300.08,Clothing
0,31,300.08,Clothing
1,48,143.36,Toys
0,44,600.16,Clothing
0,42,600.17,Shoes
1,25,600.17,Shoes
1,64,1500.4,Clothing
0,67,5250,Technology
0,55,600.16,Clothing
0,62,1800.51,Shoes
0,54,600.16,Clothing
0,43,20.92,'Food & Beverage'
0,30,600.16,Clothing
0,58,203.3,Cosmetics
1,49,3000.85,Shoes
0,49,900.24,Clothing
0,19,1500.4,Clothing
0,58,5.23,'Food & Beverage'
0,49,10.46,'Food & Beverage'
0,50,1050,Technology
0,21,162.64,Cosmetics
1,21,1200.34,Shoes
1,63,203.3,Cosmetics
1,30,23.46,Souvenir
1,66,3000.85,Shoes
0,23,20.92,'Food & Beverage'
0,69,300.08,Clothing
0,45,2400.68,Shoes
1,53,1500.4,Clothing
0,50,15.15,Books
0,45,900.24,Clothing
0,47,15.69,'Food & Beverage'
0,36,300.08,Clothing
0,61,15.69,'Food & Beverage'
0,46,143.36,Toys
1,47,5250,Technology
0,38,1500.4,Clothing
0,41,300.08,Clothing
1,29,1200.32,Clothing
0,58,121.98,Cosmetics
1,69,3150,Technology
0,53,162.64,Cosmetics
1,26,5.23,'Food & Beverage'
1,53,5.23,'Food & Beverage'
0,63,1200.32,Clothing
0,54,300.08,Clothing
0,54,1500.4,Clothing
1,45,23.46,Souvenir
0,62,143.36,Toys
0,18,300.08,Clothing
0,44,3000.85,Shoes
1,50,300.08,Clothing
1,31,1500.4,Clothing
1,62,1500.4,Clothing
0,20,1500.4,Clothing
0,65,75.75,Books
0,63,11.73,Souvenir
0,57,20.92,'Food & Beverage'
0,59,300.08,Clothing
0,44,1200.32,Clothing
0,63,203.3,Cosmetics
1,65,1200.32,Clothing
0,68,300.08,Clothing
0,21,10.46,'Food & Beverage'
0,33,75.75,Books
0,23,23.46,Souvenir
0,49,58.65,Souvenir
1,57,1200.34,Shoes
0,54,143.36,Toys
0,41,121.98,Cosmetics
0,21,1800.51,Shoes
0,45,35.84,Toys
0,58,1800.51,Shoes
1,53,20.92,'Food & Beverage'
0,53,1500.4,Clothing
1,39,26.15,'Food & Beverage'
0,21,600.17,Shoes
0,51,35.84,Toys
1,50,600.16,Clothing
0,50,162.64,Cosmetics
1,61,15.69,'Food & Beverage'
1,44,26.15,'Food & Beverage'
0,31,46.92,Souvenir
1,64,5.23,'Food & Beverage'
1,50,600.16,Clothing
1,45,300.08,Clothing
0,29,4200,Technology
0,33,300.08,Clothing
1,29,10.46,'Food & Beverage'
1,65,3150,Technology
0,66,300.08,Clothing
1,54,121.98,Cosmetics
1,44,4200,Technology
1,46,179.2,Toys
1,37,26.15,'Food & Beverage'
0,22,26.15,'Food & Beverage'
0,55,162.64,Cosmetics
1,41,2100,Technology
1,42,107.52,Toys
1,24,1800.51,Shoes
0,43,162.64,Cosmetics
1,40,900.24,Clothing
0,22,162.64,Cosmetics
0,27,15.15,Books
0,68,81.32,Cosmetics
0,48,600.16,Clothing
0,56,900.24,Clothing
1,25,900.24,Clothing
1,30,20.92,'Food & Beverage'
0,49,179.2,Toys
1,57,600.16,Clothing
0,46,20.92,'Food & Beverage'
1,29,15.69,'Food & Beverage'
0,69,40.66,Cosmetics
0,42,81.32,Cosmetics
0,38,35.84,Toys
0,46,600.16,Clothing
1,31,121.98,Cosmetics
1,26,1500.4,Clothing
0,48,121.98,Cosmetics
1,30,75.75,Books
1,56,300.08,Clothing
1,65,10.46,'Food & Beverage'
0,53,600.16,Clothing
0,43,900.24,Clothing
1,26,10.46,'Food & Beverage'
1,23,1500.4,Clothing
0,54,2400.68,Shoes
1,56,1200.32,Clothing
0,37,71.68,Toys
1,48,900.24,Clothing
1,56,10.46,'Food & Beverage'
0,58,23.46,Souvenir
0,40,15.69,'Food & Beverage'
0,38,3000.85,Shoes
0,40,121.98,Cosmetics
1,64,35.84,Toys
1,28,58.65,Souvenir
1,49,162.64,Cosmetics
1,51,15.69,'Food & Beverage'
1,22,900.24,Clothing
0,67,1500.4,Clothing
0,22,71.68,Toys
0,26,900.24,Clothing
0,42,35.84,Toys
0,45,15.15,Books
0,43,300.08,Clothing
0,35,81.32,Cosmetics
1,49,900.24,Clothing
0,49,15.69,'Food & Beverage'
1,33,1500.4,Clothing
0,65,10.46,'Food & Beverage'
1,40,46.92,Souvenir
1,68,2100,Technology
0,26,162.64,Cosmetics
1,38,35.84,Toys
0,56,162.64,Cosmetics
1,19,40.66,Cosmetics
0,18,81.32,Cosmetics
1,55,5.23,'Food & Beverage'
0,53,81.32,Cosmetics
0,69,40.66,Cosmetics
1,27,121.98,Cosmetics
0,36,10.46,'Food & Beverage'
0,61,3000.85,Shoes
0,43,203.3,Cosmetics
0,51,20.92,'Food & Beverage'
1,38,143.36,Toys
1,34,10.46,'Food & Beverage'
1,23,26.15,'Food & Beverage'
1,56,20.92,'Food & Beverage'
1,60,20.92,'Food & Beverage'
0,59,46.92,Souvenir
1,43,300.08,Clothing
1,55,60.6,Books
1,40,900.24,Clothing
0,43,10.46,'Food & Beverage'
1,59,20.92,'Food & Beverage'
1,24,75.75,Books
0,63,1500.4,Clothing
1,31,10.46,'Food & Beverage'
0,69,600.16,Clothing
0,36,45.45,Books
0,54,900.24,Clothing
1,22,15.69,'Food & Beverage'
1,39,5.23,'Food & Beverage'
1,26,121.98,Cosmetics
1,44,1200.34,Shoes
0,35,35.84,Toys
0,66,600.17,Shoes
1,61,600.17,Shoes
0,30,81.32,Cosmetics
1,55,179.2,Toys
0,22,45.45,Books
0,51,300.08,Clothing
1,53,162.64,Cosmetics
0,54,1500.4,Clothing
1,34,600.16,Clothing
0,49,300.08,Clothing
0,41,46.92,Souvenir
0,34,300.08,Clothing
0,59,121.98,Cosmetics
0,20,10.46,'Food & Beverage'
0,23,1500.4,Clothing
0,25,900.24,Clothing
0,63,107.52,Toys
1,68,1050,Technology
1,58,600.17,Shoes
1,58,600.17,Shoes
1,47,300.08,Clothing
0,22,1500.4,Clothing
0,51,40.66,Cosmetics
1,56,26.15,'Food & Beverage'
1,33,1500.4,Clothing
1,27,5250,Technology
1,50,2400.68,Shoes
0,49,1050,Technology
0,52,58.65,Souvenir
1,54,300.08,Clothing
1,19,121.98,Cosmetics
0,49,203.3,Cosmetics
0,44,162.64,Cosmetics
1,69,20.92,'Food & Beverage'
0,41,1500.4,Clothing
0,25,71.68,Toys
0,51,2400.68,Shoes
0,53,600.17,Shoes
0,20,900.24,Clothing
1,62,300.08,Clothing
0,30,121.98,Cosmetics
0,47,40.66,Cosmetics
1,40,2400.68,Shoes
0,35,900.24,Clothing
0,41,203.3,Cosmetics
0,48,600.16,Clothing
1,26,26.15,'Food & Beverage'
0,27,5.23,'Food & Beverage'
0,26,58.65,Souvenir
0,65,15.69,'Food & Beverage'
0,25,81.32,Cosmetics
0,19,60.6,Books
1,21,4200,Technology
0,61,26.15,'Food & Beverage'
0,65,179.2,Toys
0,23,162.64,Cosmetics
1,42,900.24,Clothing
1,33,15.69,'Food & Beverage'
0,54,600.16,Clothing
0,67,20.92,'Food & Beverage'
0,41,5.23,'Food & Beverage'
0,57,75.75,Books
0,35,300.08,Clothing
1,62,300.08,Clothing
1,26,35.84,Toys
1,48,162.64,Cosmetics
0,57,1200.32,Clothing
0,53,1200.34,Shoes
1,58,162.64,Cosmetics
0,32,600.16,Clothing
0,23,26.15,'Food & Beverage'
0,49,143.36,Toys
0,26,1200.32,Clothing
0,62,1500.4,Clothing
1,30,35.84,Toys
0,28,600.16,Clothing
0,65,1200.34,Shoes
0,56,35.84,Toys
0,40,15.69,'Food & Beverage'
1,55,1200.32,Clothing
0,61,71.68,Toys
0,35,58.65,Souvenir
0,37,600.17,Shoes
1,32,40.66,Cosmetics
0,68,11.73,Souvenir
0,44,600.16,Clothing
0,61,162.64,Cosmetics
1,38,1200.32,Clothing
0,66,900.24,Clothing
0,53,1500.4,Clothing
0,21,20.92,'Food & Beverage'
1,61,81.32,Cosmetics
0,32,20.92,'Food & Beverage'
0,46,300.08,Clothing
1,25,71.68,Toys
0,49,40.66,Cosmetics
0,26,900.24,Clothing
0,40,600.16,Clothing
0,20,1200.32,Clothing
0,38,162.64,Cosmetics
0,63,81.32,Cosmetics
1,25,1200.34,Shoes
0,19,300.08,Clothing
0,53,162.64,Cosmetics
0,51,600.17,Shoes
1,56,23.46,Souvenir
1,29,143.36,Toys
0,20,2400.68,Shoes
0,35,15.15,Books
0,62,10.46,'Food & Beverage'
0,32,1200.32,Clothing
1,48,5250,Technology
1,43,121.98,Cosmetics
0,57,1200.32,Clothing
1,33,600.16,Clothing
0,49,5.23,'Food & Beverage'
0,29,1200.32,Clothing
0,43,10.46,'Food & Beverage'
0,36,26.15,'Food & Beverage'
0,59,3000.85,Shoes
0,31,1500.4,Clothing
0,51,10.46,'Food & Beverage'
1,27,4200,Technology
0,62,203.3,Cosmetics
1,44,1500.4,Clothing
0,18,2400.68,Shoes
0,52,26.15,'Food & Beverage'
1,60,3150,Technology
0,34,15.69,'Food & Beverage'
1,47,300.08,Clothing
0,58,35.84,Toys
0,51,1200.32,Clothing
0,32,900.24,Clothing
0,23,179.2,Toys
0,38,143.36,Toys
1,63,23.46,Souvenir
0,50,15.69,'Food & Beverage'
1,64,81.32,Cosmetics
1,51,600.16,Clothing
1,21,5.23,'Food & Beverage'
0,20,121.98,Cosmetics
1,34,15.69,'Food & Beverage'
0,26,162.64,Cosmetics
0,19,900.24,Clothing
0,47,15.69,'Food & Beverage'
1,47,1200.32,Clothing
0,56,71.68,Toys
1,42,1500.4,Clothing
1,49,58.65,Souvenir
0,51,1800.51,Shoes
0,41,4200,Technology
1,27,5.23,'Food & Beverage'
0,61,1500.4,Clothing
0,38,2400.68,Shoes
1,42,300.08,Clothing
1,58,5.23,'Food & Beverage'
0,57,35.19,Souvenir
1,23,900.24,Clothing
0,62,300.08,Clothing
1,31,1800.51,Shoes
0,54,300.08,Clothing
1,19,1200.32,Clothing
1,68,203.3,Cosmetics
1,44,1500.4,Clothing
0,44,600.16,Clothing
0,29,1800.51,Shoes
0,67,20.92,'Food & Beverage'
0,28,3000.85,Shoes
0,34,1500.4,Clothing
1,45,71.68,Toys
0,55,600.16,Clothing
0,69,10.46,'Food & Beverage'
1,30,20.92,'Food & Beverage'
0,38,600.16,Clothing
1,39,40.66,Cosmetics
0,63,143.36,Toys
1,49,40.66,Cosmetics
0,66,2400.68,Shoes
0,68,5.23,'Food & Beverage'
1,18,1500.4,Clothing
0,42,1800.51,Shoes
0,54,1200.32,Clothing
1,43,1500.4,Clothing
1,54,300.08,Clothing
1,43,2400.68,Shoes
1,44,900.24,Clothing
1,36,2100,Technology
0,41,10.46,'Food & Beverage'
0,45,300.08,Clothing
0,41,600.16,Clothing
1,58,203.3,Cosmetics
0,34,600.17,Shoes
0,67,5.23,'Food & Beverage'
1,60,75.75,Books
0,31,1500.4,Clothing
0,52,107.52,Toys
1,25,26.15,'Food & Beverage'
0,22,1200.32,Clothing
0,34,15.69,'Food & Beverage'
1,30,1200.32,Clothing
0,25,10.46,'Food & Beverage'
0,48,900.24,Clothing
1,30,300.08,Clothing
0,30,900.24,Clothing
0,36,1500.4,Clothing
0,52,3000.85,Shoes
1,33,5.23,'Food & Beverage'
1,69,203.3,Cosmetics
0,46,600.16,Clothing
0,65,143.36,Toys
1,27,26.15,'Food & Beverage'
0,42,10.46,'Food & Beverage'
0,56,5250,Technology
0,68,203.3,Cosmetics
1,64,15.69,'Food & Beverage'
1,59,5.23,'Food & Beverage'
0,68,3150,Technology
1,25,203.3,Cosmetics
0,40,179.2,Toys
0,18,35.84,Toys
1,56,1200.32,Clothing
0,36,600.17,Shoes
0,30,5.23,'Food & Beverage'
0,52,162.64,Cosmetics
0,24,4200,Technology
0,30,600.16,Clothing
0,45,203.3,Cosmetics
1,29,143.36,Toys
1,24,15.15,Books
0,46,600.16,Clothing
0,65,2400.68,Shoes
0,26,35.84,Toys
0,58,107.52,Toys
0,45,1200.32,Clothing
1,43,121.98,Cosmetics
0,25,46.92,Souvenir
0,53,900.24,Clothing
0,63,300.08,Clothing
0,37,40.66,Cosmetics
0,68,162.64,Cosmetics
0,67,75.75,Books
0,29,1500.4,Clothing
0,55,1200.32,Clothing
1,30,600.16,Clothing
0,57,179.2,Toys
1,33,600.17,Shoes
0,54,900.24,Clothing
0,66,2400.68,Shoes
1,56,1500.4,Clothing
1,30,4200,Technology
0,19,1500.4,Clothing
0,22,1050,Technology
1,29,26.15,'Food & Beverage'
1,44,600.16,Clothing
0,38,35.84,Toys
0,32,900.24,Clothing
0,58,143.36,Toys
0,55,162.64,Cosmetics
0,64,10.46,'Food & Beverage'
0,45,900.24,Clothing
0,65,300.08,Clothing
0,54,1200.32,Clothing
1,58,1500.4,Clothing
0,40,81.32,Cosmetics
1,24,1500.4,Clothing
0,60,1500.4,Clothing
0,60,15.69,'Food & Beverage'
1,66,10.46,'Food & Beverage'
1,59,5.23,'Food & Beverage'
1,69,58.65,Souvenir
0,47,162.64,Cosmetics
1,39,3150,Technology
0,54,300.08,Clothing
0,67,4200,Technology
1,30,600.16,Clothing
0,27,107.52,Toys
0,52,162.64,Cosmetics
0,57,15.69,'Food & Beverage'
1,52,300.08,Clothing
1,20,162.64,Cosmetics
0,52,58.65,Souvenir
0,67,15.69,'Food & Beverage'
0,20,162.64,Cosmetics
0,64,900.24,Clothing
0,20,81.32,Cosmetics
0,60,107.52,Toys
0,36,300.08,Clothing
0,29,2400.68,Shoes
0,45,11.73,Souvenir
0,18,5.23,'Food & Beverage'
0,54,15.15,Books
1,45,900.24,Clothing
0,59,5.23,'Food & Beverage'
0,49,600.16,Clothing
1,61,35.19,Souvenir
0,28,15.69,'Food & Beverage'
0,36,45.45,Books
0,69,600.16,Clothing
0,27,15.69,'Food & Beverage'
0,30,900.24,Clothing
1,67,162.64,Cosmetics
1,66,2400.68,Shoes
0,52,20.92,'Food & Beverage'
1,69,15.69,'Food & Beverage'
0,63,300.08,Clothing
0,20,1500.4,Clothing
0,23,143.36,Toys
1,47,107.52,Toys
1,43,1500.4,Clothing
1,55,600.17,Shoes
1,25,71.68,Toys
0,62,2400.68,Shoes
0,23,40.66,Cosmetics
0,48,5250,Technology
1,64,11.73,Souvenir
0,50,600.16,Clothing
0,42,81.32,Cosmetics
1,43,900.24,Clothing
0,25,900.24,Clothing
1,66,900.24,Clothing
0,41,5.23,'Food & Beverage'
0,37,121.98,Cosmetics
0,43,900.24,Clothing
0,19,600.16,Clothing
0,64,4200,Technology
0,39,3000.85,Shoes
0,21,81.32,Cosmetics
1,51,15.69,'Food & Beverage'
1,67,75.75,Books
1,54,1800.51,Shoes
0,21,10.46,'Food & Beverage'
1,29,1050,Technology
0,32,1800.51,Shoes
0,55,1200.32,Clothing
1,24,46.92,Souvenir
1,37,900.24,Clothing
0,53,3000.85,Shoes
0,43,26.15,'Food & Beverage'
0,39,107.52,Toys
0,37,1800.51,Shoes
0,58,5.23,'Food & Beverage'
1,28,35.84,Toys
1,45,1050,Technology
0,21,1200.32,Clothing
0,39,203.3,Cosmetics
1,23,1500.4,Clothing
1,41,300.08,Clothing
0,26,10.46,'Food & Beverage'
1,51,143.36,Toys
1,49,81.32,Cosmetics
1,45,1200.32,Clothing
1,33,203.3,Cosmetics
0,53,2400.68,Shoes
0,32,40.66,Cosmetics
1,40,300.08,Clothing
1,60,1500.4,Clothing
0,37,300.08,Clothing
0,56,5250,Technology
0,55,600.16,Clothing
1,68,15.15,Books
0,54,81.32,Cosmetics
0,56,15.69,'Food & Beverage'
1,27,71.68,Toys
0,41,35.84,Toys
1,59,2400.68,Shoes
1,62,300.08,Clothing
1,32,81.32,Cosmetics
1,47,81.32,Cosmetics
0,42,5250,Technology
1,33,15.69,'Food & Beverage'
1,66,5250,Technology
0,55,203.3,Cosmetics
0,24,20.92,'Food & Beverage'
0,64,179.2,Toys
0,27,3000.85,Shoes
0,62,81.32,Cosmetics
0,68,81.32,Cosmetics
0,62,121.98,Cosmetics
1,36,11.73,Souvenir
1,64,900.24,Clothing
1,22,4200,Technology
0,26,26.15,'Food & Beverage'
0,37,1500.4,Clothing
0,47,40.66,Cosmetics
0,40,35.84,Toys
0,58,5.23,'Food & Beverage'
1,32,30.3,Books
0,36,300.08,Clothing
0,56,143.36,Toys
0,41,1200.32,Clothing
0,34,26.15,'Food & Beverage'
0,37,1500.4,Clothing
0,55,40.66,Cosmetics
0,25,1200.34,Shoes
0,50,1200.32,Clothing
1,66,1800.51,Shoes
1,52,300.08,Clothing
0,24,40.66,Cosmetics
1,52,15.69,'Food & Beverage'
1,43,900.24,Clothing
1,41,40.66,Cosmetics
0,28,1500.4,Clothing
1,31,5.23,'Food & Beverage'
0,41,1800.51,Shoes
1,21,121.98,Cosmetics
0,45,121.98,Cosmetics
0,41,45.45,Books
1,42,900.24,Clothing
1,50,40.66,Cosmetics
0,42,900.24,Clothing
0,25,600.16,Clothing
0,39,3000.85,Shoes
1,23,179.2,Toys
1,67,30.3,Books
0,42,26.15,'Food & Beverage'
0,63,600.16,Clothing
1,53,46.92,Souvenir
1,32,26.15,'Food & Beverage'
1,43,1200.34,Shoes
0,22,600.16,Clothing
1,30,20.92,'Food & Beverage'
0,20,900.24,Clothing
0,40,81.32,Cosmetics
1,61,1200.32,Clothing
1,44,1500.4,Clothing
0,55,162.64,Cosmetics
0,54,10.46,'Food & Beverage'
1,23,107.52,Toys
0,61,300.08,Clothing
